Country,Job Title,Gender,Quantity,Percentage
Belgium,Geographic Information Systems Data Specialist (GIS Data Specialist),Male,2,0.035%
Belgium,Head of Information Systems and Data Processing,Male,1,0.018%
Belgium,Health Data Analyst,Male,3,0.053%
Belgium,Log Data Technician,Male,1,0.018%
Belgium,Marketing Database Analyst,Male,1,0.018%
Belgium,Medical Data Analyst,Male,1,0.018%
Belgium,Oracle Database Administrator (Oracle DBA),Female,1,0.018%
Belgium,Reference Data Expert,Male,1,0.018%
Belgium,SQL Database Administrator,Male,1,0.018%
Bulgaria,Automatic Data Processing Planner,Male,1,0.018%
Bulgaria,Automatic Data Processing Planner (ADP Planner),Male,1,0.018%
Bulgaria,Business Database Analyst,Male,1,0.018%
Bulgaria,Clinical Data Management Associate Director,Male,1,0.018%
Bulgaria,Clinical Data Manager,Male,1,0.018%
Bulgaria,Computer or Data Processing Systems Consultant,Male,1,0.018%
Bulgaria,Data Abstractor,Male,1,0.018%
Bulgaria,Data Administrator,Male,2,0.035%
Bulgaria,Data Architect,Female,2,0.035%
Bulgaria,Data Base Design Analyst,Male,1,0.018%
Bulgaria,Data Center Manager,Male,1,0.018%
Bulgaria,Data Center Operator,Male,1,0.018%
Bulgaria,Data Communications Analyst,Male,1,0.018%
Bulgaria,Data Compiler,Female,1,0.018%
Bulgaria,Data Control Assistant,Male,1,0.018%
Bulgaria,Data Coordinator,Female,1,0.018%
Bulgaria,Data Management Associate,Male,1,0.018%
Bulgaria,Data Management Information Technology Specialist,Male,1,0.018%
Bulgaria,Data Miner,Female,1,0.018%
Bulgaria,Data Miner,Male,1,0.018%
Bulgaria,Data Modeling Specialist,Female,1,0.018%
Bulgaria,Data Officer,Male,1,0.018%
Bulgaria,Data Operations Director,Male,1,0.018%
Bulgaria,Data Processing Auditor,Female,1,0.018%
Bulgaria,Data Processing Auditor,Male,1,0.018%
Bulgaria,Data Processing Manager,Male,3,0.053%
Bulgaria,Data Processing Systems Analyst,Female,1,0.018%
Bulgaria,Data Processing Systems Analyst,Male,1,0.018%
Bulgaria,Data Recovery Planner,Female,1,0.018%
Bulgaria,Data Reduction Technician,Male,1,0.018%
